Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
10.0,Low Fat,0.089291137,Household and Non-Food Items,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652,10
13.745999999999999,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916,24
8.85,Regular,0.113123893,Beverages,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044,0
7.984999999999999,Regular,0.123111453,Grocery,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,388.1614,24
12.913,Low Fat,0.026480954,Grocery,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,2180.495,24
13.35,Low Fat,0.102511504,Grocery,230.6352,OUT046,Small,Tier 1,Supermarket Type1,3435.528,12
9.8,Low Fat,0.02681843,Proteins,126.002,OUT013,High,Tier 3,Supermarket Type1,2150.534,22
13.6,Low Fat,0.117818348,Grocery,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768,10
12.15,Regular,0.042277867,Grocery,126.5046,OUT013,High,Tier 3,Supermarket Type1,373.5138,22
6.42,Low Fat,0.089498926,Grocery,178.1002,OUT010,High,Tier 3,Grocery Store,358.2004,11
19.6,Low Fat,0.0,Household and Non-Food Items,153.3024,OUT045,Small,Tier 2,Supermarket Type1,2428.8384,7
10.0,Low Fat,0.025879577,Grocery,265.2226,OUT045,Small,Tier 2,Supermarket Type1,5815.0972,7
15.85,Regular,0.121632721,Grocery,60.622,OUT046,Small,Tier 1,Supermarket Type1,2576.646,12
7.39,Low Fat,0.067779712,Household and Non-Food Items,143.8812,OUT046,Small,Tier 1,Supermarket Type1,3134.5864,12
10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,850.8924,22
9.895,Regular,0.028696932,Grocery,117.0492,OUT013,High,Tier 3,Supermarket Type1,810.9444,22
10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,Small,Tier 2,Supermarket Type1,3121.2704,2
12.15,Low Fat,0.028760013,Household and Non-Food Items,151.4708,OUT017,Small,Tier 2,Supermarket Type1,4815.0656,2
7.905,Low Fat,0.010053105,Grocery,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,6258.52,0
9.195,Low Fat,0.048157338,Household and Non-Food Items,106.1622,OUT045,Small,Tier 2,Supermarket Type1,2117.244,7
8.365,Low Fat,0.071958197,Beverages,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,796.9626,10
15.1,Low Fat,0.173481304,Grocery,194.511,OUT046,Small,Tier 1,Supermarket Type1,4910.275,12
14.969999999999999,Low Fat,0.061082177,Grocery,180.0344,OUT019,Small,Tier 1,Grocery Store,892.172,24
10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,3185.1872,0
7.97,Regular,0.040071131,Proteins,87.3514,OUT045,Small,Tier 2,Supermarket Type1,1062.6168,7
11.682,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,484.7024,24
15.737,Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,147.8076,24
15.809999999999999,Low Fat,0.026015519,Grocery,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,2543.356,24
17.7,Low Fat,0.195068226,Grocery,185.4266,OUT010,High,Tier 3,Grocery Store,184.4266,11
19.35,Low Fat,0.033082215,Proteins,172.5738,OUT035,Small,Tier 2,Supermarket Type1,4865.6664,5
13.65,Regular,0.078946455,Grocery,186.024,OUT045,Small,Tier 2,Supermarket Type1,1118.544,7
17.6,Low Fat,0.041700756,Beverages,164.8526,OUT045,Small,Tier 2,Supermarket Type1,2302.3364,7
8.645,Low Fat,0.143422643,Household and Non-Food Items,95.841,OUT046,Small,Tier 1,Supermarket Type1,2027.361,12
15.6,Regular,0.105296072,Grocery,170.1764,OUT046,Small,Tier 1,Supermarket Type1,3435.528,12
15.85,Regular,0.121531501,Grocery,59.222,OUT013,High,Tier 3,Supermarket Type1,599.22,22
18.25,Low Fat,0.0,Grocery,164.7526,OUT045,Small,Tier 2,Supermarket Type1,4604.6728,7
7.855,Low Fat,0.011324862,Grocery,189.6188,OUT017,Small,Tier 2,Supermarket Type1,2285.0256,2
7.825,Low Fat,0.186357148,Household and Non-Food Items,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,5580.7356,10
8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,2290.352,12
12.85,Low Fat,0.033230816,Grocery,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,1207.0954,10
10.74,Low Fat,0.113720344,Grocery,89.9804,OUT019,Small,Tier 1,Grocery Store,643.1628,24
19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,Small,Tier 2,Supermarket Type1,1587.933,2
5.905,Low Fat,0.0,Grocery,222.5456,OUT045,Small,Tier 2,Supermarket Type1,5305.0944,7
7.76,Low Fat,0.059352241,Grocery,101.87,OUT046,Small,Tier 1,Supermarket Type1,1697.79,12
11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,1427.4752,12
16.75,Low Fat,0.045230944,Grocery,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,4693.89,0
13.094,Regular,0.031382044,Grocery,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,3091.9752,24
15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,Small,Tier 2,Supermarket Type1,2479.4392,2
6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,Small,Tier 2,Supermarket Type1,2716.464,5
14.322,Regular,0.039057677,Grocery,155.963,OUT027,Medium,Tier 3,Supermarket Type3,3285.723,24
6.305,Regular,0.123115764,Grocery,95.6436,OUT046,Small,Tier 1,Supermarket Type1,661.8052,12
20.85,Low Fat,0.039624006,Proteins,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,1523.3504,10
20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,High,Tier 3,Grocery Store,369.519,11
8.895,Low Fat,0.105274111,Grocery,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,690.4346,10
19.6,Low Fat,0.033970195,Beverages,55.1614,OUT045,Small,Tier 2,Supermarket Type1,1381.535,7
19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,622.523,5
9.8,Low Fat,0.024378706,Household and Non-Food Items,114.5492,OUT035,Small,Tier 2,Supermarket Type1,1274.3412,5
11.640999999999998,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,487.3656,24
12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,1231.73,10
8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,3755.112,5
12.101,Low Fat,0.028459761,Household and Non-Food Items,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,4363.6532,24
8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,1314.2892,12
13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,Small,Tier 2,Supermarket Type1,1805.6496,7
15.218,Regular,0.045797829,Grocery,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,2854.9504,24
8.31,Regular,0.115857223,Grocery,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,3896.2616,10
16.75,Regular,0.024832806,Beverages,38.7822,OUT013,High,Tier 3,Supermarket Type1,667.7974,22
19.75,Low Fat,0.034027909,Grocery,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,3185.853,0
17.1,Regular,0.0467696,Grocery,141.1838,OUT013,High,Tier 3,Supermarket Type1,2247.7408,22
10.5,Regular,0.116576702,Grocery,163.121,OUT013,High,Tier 3,Supermarket Type1,1794.331,22
6.635,Regular,0.0,Grocery,121.3098,OUT045,Small,Tier 2,Supermarket Type1,2530.7058,7
14.15,Low Fat,0.035913805,Beverages,41.4138,OUT013,High,Tier 3,Supermarket Type1,812.276,22
13.3,Low Fat,0.079806266,Grocery,232.53,OUT046,Small,Tier 1,Supermarket Type1,699.09,12
8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,Small,Tier 2,Supermarket Type1,2732.4432,2
11.218,Regular,0.064625342,Proteins,176.937,OUT019,Small,Tier 1,Grocery Store,176.437,24
14.249,Low Fat,0.071636937,Grocery,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,4097.3332,24
9.1,Regular,0.0,Grocery,173.2054,OUT045,Small,Tier 2,Supermarket Type1,3151.8972,7
7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,5942.265,10
16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,Small,Tier 2,Supermarket Type1,4843.695,2
7.485,Low Fat,0.06911065,Grocery,109.0228,OUT035,Small,Tier 2,Supermarket Type1,2542.0244,5
11.6,Low Fat,0.041177505,Beverages,140.3154,OUT017,Small,Tier 2,Supermarket Type1,2552.6772,2
11.65,Low Fat,0.040081193,Grocery,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,1141.847,0
13.0,Low Fat,0.035307322,Household and Non-Food Items,47.5034,OUT017,Small,Tier 2,Supermarket Type1,680.4476,2
12.65,Low Fat,0.063017847,Beverages,159.0578,OUT045,Small,Tier 2,Supermarket Type1,2085.9514,7
20.25,Regular,0.171938781,Grocery,92.512,OUT010,High,Tier 3,Grocery Store,186.424,11
8.6,Regular,0.040197932,Grocery,190.153,OUT035,Small,Tier 2,Supermarket Type1,3036.048,5
12.6,Low Fat,0.049058014,Grocery,62.7194,OUT017,Small,Tier 2,Supermarket Type1,866.8716,2
17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,868.869,5
14.15,Low Fat,0.183507295,Beverages,82.4276,OUT046,Small,Tier 1,Supermarket Type1,1137.1864,12
19.25,Low Fat,0.102349519,Grocery,52.7956,OUT017,Small,Tier 2,Supermarket Type1,928.1252,2
8.88,Low Fat,0.086708987,Beverages,151.7682,OUT013,High,Tier 3,Supermarket Type1,762.341,22
20.5,Low Fat,0.032835147,Household and Non-Food Items,40.2822,OUT045,Small,Tier 2,Supermarket Type1,707.0796,7
13.5,Low Fat,0.07266912,Household and Non-Food Items,160.292,OUT046,Small,Tier 1,Supermarket Type1,1438.128,12
8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,High,Tier 3,Grocery Store,101.2016,11
7.855,Low Fat,0.011307038,Grocery,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,952.094,0
7.235,Low Fat,0.076855628,Household and Non-Food Items,116.0492,OUT046,Small,Tier 1,Supermarket Type1,1969.4364,12
12.056999999999999,Low Fat,0.059956876,Grocery,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,5262.4832,24
6.92,Low Fat,0.038532062,Grocery,60.5852,OUT045,Small,Tier 2,Supermarket Type1,1314.2892,7
9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,Small,Tier 2,Supermarket Type1,535.3032,2
18.5,Low Fat,0.056816465,Others,132.1284,OUT010,High,Tier 3,Grocery Store,263.6568,11
8.02,Low Fat,0.019866705,Household and Non-Food Items,154.5972,OUT035,Small,Tier 2,Supermarket Type1,1402.1748,5
9.195,Low Fat,0.048331717,Household and Non-Food Items,105.1622,OUT017,Small,Tier 2,Supermarket Type1,1693.7952,2
12.8,Low Fat,0.091221855,Others,105.5938,OUT045,Small,Tier 2,Supermarket Type1,2143.876,7
16.6,Low Fat,0.027622076,Household and Non-Food Items,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,2676.516,10
14.0,Regular,0.0,Frozen Foods,53.064,OUT035,Small,Tier 2,Supermarket Type1,905.488,5
16.0,Low Fat,0.060836524,Grocery,226.8404,OUT035,Small,Tier 2,Supermarket Type1,6301.1312,5
17.6,Low Fat,0.082316506,Household and Non-Food Items,160.692,OUT035,Small,Tier 2,Supermarket Type1,1597.92,5
21.25,Low Fat,0.155350299,Grocery,178.237,OUT035,Small,Tier 2,Supermarket Type1,529.311,5
7.235,Low Fat,0.076841095,Household and Non-Food Items,117.5492,OUT035,Small,Tier 2,Supermarket Type1,1969.4364,5
14.6,Low Fat,0.151419185,Beverages,50.3692,OUT017,Small,Tier 2,Supermarket Type1,1034.6532,2
13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,Medium,Tier 3,Supermarket Type2,1794.331,0
13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,2768.3964,0
13.529999999999998,Low Fat,0.041683481,Beverages,31.29,OUT027,Medium,Tier 3,Supermarket Type3,898.83,24
7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,3169.208,12
18.35,Low Fat,0.014081156,Household and Non-Food Items,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,3589.9936,0
5.465,Regular,0.0,Grocery,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,262.3252,0
18.6,Low Fat,0.152918384,Grocery,99.8358,OUT017,Small,Tier 2,Supermarket Type1,1910.1802,2
13.85,Low Fat,0.030969274,Beverages,140.9154,OUT017,Small,Tier 2,Supermarket Type1,1701.7848,2
14.0,Regular,0.060376776,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,2471.4496,22
14.0,Regular,0.04192285,Grocery,54.764,OUT013,High,Tier 3,Supermarket Type1,1331.6,22
15.796000000000001,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,1808.9786,24
5.905,Low Fat,0.045838211,Grocery,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,3315.684,0
7.27,Low Fat,0.071077939,Beverages,114.2518,OUT046,Small,Tier 1,Supermarket Type1,2618.5914,12
6.155,Regular,0.094659871,Proteins,214.556,OUT046,Small,Tier 1,Supermarket Type1,2769.728,12
19.5,Regular,0.077608838,Beverages,233.4958,OUT017,Small,Tier 2,Supermarket Type1,5375.0034,2
15.2,Low Fat,0.021327477,Grocery,216.8824,OUT017,Small,Tier 2,Supermarket Type1,2838.9712,2
12.15,Regular,0.042485444,Grocery,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,1743.0644,0
12.109,Low Fat,0.025578526,Household and Non-Food Items,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,5555.4352,24
12.6,Low Fat,0.0489808,Grocery,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,619.194,0
14.5,Low Fat,0.019471688,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,2120.573,5
16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,Small,Tier 2,Supermarket Type1,3823.0236,2
11.8,Regular,0.057373797,Proteins,151.4366,OUT013,High,Tier 3,Supermarket Type1,1360.2294,22
13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,3969.4996,22
17.85,Low Fat,0.0,Grocery,196.5794,OUT010,High,Tier 3,Grocery Store,585.2382,11
12.3,Regular,0.064750025,Grocery,92.6804,OUT045,Small,Tier 2,Supermarket Type1,1010.6844,7
11.8,Low Fat,0.098312421,Household and Non-Food Items,81.4618,OUT010,High,Tier 3,Grocery Store,161.1236,11
12.9,Regular,0.191013663,Beverages,42.1112,OUT019,Small,Tier 1,Grocery Store,42.6112,24
11.1,Low Fat,0.176573035,Grocery,157.4604,OUT045,Small,Tier 2,Supermarket Type1,3010.7476,7
16.610000000000003,Regular,0.060134441,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,6024.1584,24
11.3,Low Fat,0.007294652,Proteins,198.1426,OUT045,Small,Tier 2,Supermarket Type1,988.713,7
10.495000000000001,Low Fat,0.128478462,Household and Non-Food Items,117.944,OUT019,Small,Tier 1,Grocery Store,239.688,24
5.75,Regular,0.075107656,Grocery,112.8176,OUT013,High,Tier 3,Supermarket Type1,1374.2112,22
12.783,Regular,0.049381406,Grocery,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,4739.8302,24
11.35,Regular,0.045165796,Grocery,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,1012.016,0
15.38,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,657.8104,24
14.0,Low Fat,0.028907832,Household and Non-Food Items,130.431,OUT049,Medium,Tier 1,Supermarket Type1,778.986,10
19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,Small,Tier 2,Supermarket Type1,2336.958,7
6.525,Low Fat,0.090436094,Household and Non-Food Items,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,2233.0932,10
10.3,Low Fat,0.146399712,Proteins,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,1661.8368,10
5.78,Regular,0.074264356,Grocery,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,4745.8224,10
11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,Small,Tier 2,Supermarket Type1,3124.5994,7
16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,467.3916,0
13.462,Low Fat,0.01561108,Household and Non-Food Items,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,5070.7328,24
10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,540.6296,12
19.0,Regular,0.097313129,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,992.7078,12
14.6,Low Fat,0.059582996,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,6008.845,10
16.6,Regular,0.098663652,Grocery,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,2105.2596,24
16.54,Regular,0.101338651,Grocery,232.63,OUT027,Medium,Tier 3,Supermarket Type3,5359.69,24
18.75,Low Fat,0.052146456,Household and Non-Food Items,104.628,OUT045,Small,Tier 2,Supermarket Type1,745.696,7
5.26,Regular,0.041764487,Grocery,161.8868,OUT035,Small,Tier 2,Supermarket Type1,3275.736,5
18.25,Low Fat,0.054344186,Grocery,140.2154,OUT045,Small,Tier 2,Supermarket Type1,1701.7848,7
15.1,Low Fat,0.052339069,Proteins,242.7512,OUT046,Small,Tier 1,Supermarket Type1,4119.9704,12
15.5,Regular,0.042464962,Grocery,81.5934,OUT010,High,Tier 3,Grocery Store,327.5736,11
13.65,Low Fat,0.065732883,Frozen Foods,45.7402,OUT049,Medium,Tier 1,Supermarket Type1,780.9834,10
16.1,Low Fat,0.023625114,Beverages,189.3846,OUT045,Small,Tier 2,Supermarket Type1,3630.6074,7
11.838,Regular,0.051643608,Grocery,107.3622,OUT019,Small,Tier 1,Grocery Store,317.5866,24
12.85,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,High,Tier 3,Grocery Store,231.6984,11
9.5,Low Fat,0.041878397,Beverages,32.99,OUT035,Small,Tier 2,Supermarket Type1,133.16,5
13.8,Low Fat,0.058091482,Grocery,245.1802,OUT035,Small,Tier 2,Supermarket Type1,5650.6446,5
5.78,Regular,0.0,Grocery,263.7568,OUT017,Small,Tier 2,Supermarket Type1,2636.568,2
19.7,Low Fat,0.026903714,Household and Non-Food Items,96.0726,OUT045,Small,Tier 2,Supermarket Type1,1272.3438,7
14.65,Low Fat,0.0,Household and Non-Food Items,161.5552,OUT010,High,Tier 3,Grocery Store,324.9104,11
6.67,Regular,0.150554711,Grocery,130.0626,OUT010,High,Tier 3,Grocery Store,131.1626,11
6.11,Regular,0.0,Fruits and Vegetables,131.2968,OUT010,High,Tier 3,Grocery Store,260.9936,11
13.65,Regular,0.134975628,Frozen Foods,260.0936,OUT010,High,Tier 3,Grocery Store,260.9936,11
17.2,Low Fat,0.15616879,Proteins,160.6578,OUT013,High,Tier 3,Supermarket Type1,3690.5294,22
6.32,Low Fat,0.0,Proteins,40.2822,OUT035,Small,Tier 2,Supermarket Type1,1139.1838,5
4.88,Regular,0.133700752,Grocery,52.9298,OUT049,Medium,Tier 1,Supermarket Type1,1995.4026,10
5.425,Regular,0.115119905,Grocery,88.3514,OUT017,Small,Tier 2,Supermarket Type1,1416.8224,2
15.85,Regular,0.110030997,Frozen Foods,37.2506,OUT046,Small,Tier 1,Supermarket Type1,265.6542,12
7.5,Low Fat,0.051038045,Grocery,121.7072,OUT017,Small,Tier 2,Supermarket Type1,3552.7088,2
12.65,Low Fat,0.062837968,Beverages,161.5578,OUT013,High,Tier 3,Supermarket Type1,2406.867,22
10.404,Low Fat,0.017116983,Others,211.956,OUT019,Small,Tier 1,Grocery Store,213.056,24
20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,OUT013,High,Tier 3,Supermarket Type1,2956.152,22
17.515,Low Fat,0.049754975,Grocery,152.134,OUT019,Small,Tier 1,Grocery Store,153.134,24
9.0,Low Fat,0.0,Grocery,79.7644,OUT035,Small,Tier 2,Supermarket Type1,1649.8524,5
14.193999999999999,Low Fat,0.101561568,Grocery,181.9292,OUT027,Medium,Tier 3,Supermarket Type3,3101.2964,24
13.016,Low Fat,0.005949644,Household and Non-Food Items,165.6526,OUT027,Medium,Tier 3,Supermarket Type3,4769.1254,24
16.07,Regular,0.13956116,Proteins,170.4764,OUT027,Medium,Tier 3,Supermarket Type3,3435.528,24
14.1,Low Fat,0.126035694,Fruits and Vegetables,86.4198,OUT045,Small,Tier 2,Supermarket Type1,1133.8574,7
7.55,Low Fat,0.027164679,Grocery,152.334,OUT035,Small,Tier 2,Supermarket Type1,2603.278,5
13.0,Low Fat,0.099325278,Household and Non-Food Items,45.406,OUT046,Small,Tier 1,Supermarket Type1,605.878,12
13.284000000000002,Low Fat,0.04357366,Beverages,192.8846,OUT027,Medium,Tier 3,Supermarket Type3,2293.0152,24
16.689999999999998,Regular,0.082741482,Grocery,118.7782,OUT019,Small,Tier 1,Grocery Store,119.1782,24
12.3,Regular,0.064565202,Grocery,92.9804,OUT013,High,Tier 3,Supermarket Type1,1929.4884,22
10.184000000000001,Low Fat,0.084554569,Grocery,109.8912,OUT027,Medium,Tier 3,Supermarket Type3,2074.6328,24
13.879999999999999,Low Fat,0.058451805,Household and Non-Food Items,79.9618,OUT027,Medium,Tier 3,Supermarket Type3,241.6854,24
15.85,Low Fat,0.020603511,Household and Non-Food Items,42.7112,OUT017,Small,Tier 2,Supermarket Type1,639.168,2
18.85,Low Fat,0.052044976,Household and Non-Food Items,192.1846,OUT035,Small,Tier 2,Supermarket Type1,3248.4382,5
14.1,Low Fat,0.087977262,Grocery,229.0668,OUT035,Small,Tier 2,Supermarket Type1,3225.1352,5
7.905,Low Fat,0.010010425,Grocery,249.0408,OUT035,Small,Tier 2,Supermarket Type1,3755.112,5
12.0,Low Fat,0.033946163,Grocery,179.3976,OUT013,High,Tier 3,Supermarket Type1,3440.8544,22
12.15,Regular,0.058414678,Fruits and Vegetables,163.4552,OUT035,Small,Tier 2,Supermarket Type1,974.7312,5
10.1,Low Fat,0.027106459,Proteins,75.367,OUT049,Medium,Tier 1,Supermarket Type1,535.969,10
17.5,Low Fat,0.027022883,Frozen Foods,262.491,OUT017,Small,Tier 2,Supermarket Type1,5259.82,2
14.424000000000001,Low Fat,0.058153409,Grocery,152.034,OUT019,Small,Tier 1,Grocery Store,306.268,24
